LEXEME                                            SPELLING                                          
programsym                                        PROGRAM                                           
indentifier                                       a1                                                
lparen                                            (                                                 
indentifier                                       input                                             
comma                                             ,                                                 
indentifier                                       output                                            
rparen                                            )                                                 
semocolon                                         ;                                                 
usessym                                           USES                                              
indentifier                                       dayio                                             
semocolon                                         ;                                                 
constsym                                          CONST                                             
indentifier                                       NotScheduled                                      
equal                                             =                                                 
quotestring                                                                                         
semocolon                                         ;                                                 
indentifier                                       EmployeeMaxLen                                    
equal                                             =                                                 
number                                            8                                                 
semocolon                                         ;                                                 
indentifier                                       FirstHour                                         
equal                                             =                                                 
number                                            8                                                 
semocolon                                         ;                                                 
indentifier                                       LastHour                                          
equal                                             =                                                 
number                                            17                                                
semocolon                                         ;                                                 
indentifier                                       PastLastHour                                      
equal                                             =                                                 
number                                            18                                                
semocolon                                         ;                                                 
indentifier                                       TableDayWidth                                     
equal                                             =                                                 
number                                            9                                                 
semocolon                                         ;                                                 
typesym                                           TYPE                                              
indentifier                                       EmployeeType                                      
equal                                             =                                                 
stryingsym                                        string                                            
lbrack                                            [                                                 
indentifier                                       EmployeeMaxLen                                    
rbrack                                            ]                                                 
semocolon                                         ;                                                 
indentifier                                       HourType                                          
equal                                             =                                                 
range                                             8..17                                             
semocolon                                         ;                                                 
indentifier                                       ScheduleType                                      
equal                                             =                                                 
arraysym                                          ARRAY                                             
lbrack                                            [                                                 
indentifier                                       HourType                                          
comma                                             ,                                                 
indentifier                                       DayType                                           
rbrack                                            ]                                                 
ofsym                                             OF                                                
indentifier                                       EmployeeType                                      
semocolon                                         ;                                                 
indentifier                                       HourScanType                                      
equal                                             =                                                 
range                                             8..18                                             
semocolon                                         ;                                                 
proceduresym                                      PROCEDURE                                         
indentifier                                       ReadString                                        
lparen                                            (                                                 
varsym                                            VAR                                               
indentifier                                       Str                                               
colon                                             :                                                 
stryingsym                                        string                                            
rparen                                            )                                                 
semocolon                                         ;                                                 
varsym                                            VAR                                               
indentifier                                       Ch                                                
colon                                             :                                                 
charsym                                           char                                              
semocolon                                         ;                                                 
beginsym                                          BEGIN                                             
indentifier                                       Ch                                                
assign                                            :=                                                
litchar                                                                                             
semocolon                                         ;                                                 
whilesym                                          WHILE                                             
lparen                                            (                                                 
indentifier                                       Ch                                                
equal                                             =                                                 
litchar                                                                                             
rparen                                            )                                                 
andsym                                            AND                                               
notsym                                            NOT                                               
indentifier                                       eoln                                              
dosym                                             DO                                                
readsym                                           read                                              
lparen                                            (                                                 
indentifier                                       Ch                                                
rparen                                            )                                                 
semocolon                                         ;                                                 
ifsym                                             IF                                                
indentifier                                       Ch                                                
equal                                             =                                                 
litchar                                                                                             
thensym                                           THEN                                              
indentifier                                       Str                                               
assign                                            :=                                                
litchar                                                                                             
elsesym                                           ELSE                                              
beginsym                                          BEGIN                                             
indentifier                                       Str                                               
assign                                            :=                                                
litchar                                                                                             
semocolon                                         ;                                                 
whilesym                                          WHILE                                             
lparen                                            (                                                 
indentifier                                       Ch                                                
notequal                                          <>                                                
litchar                                                                                             
rparen                                            )                                                 
andsym                                            AND                                               
notsym                                            NOT                                               
indentifier                                       eoln                                              
dosym                                             DO                                                
beginsym                                          BEGIN                                             
indentifier                                       Str                                               
assign                                            :=                                                
indentifier                                       Str                                               
plus                                              +                                                 
indentifier                                       Ch                                                
semocolon                                         ;                                                 
readsym                                           read                                              
lparen                                            (                                                 
indentifier                                       Ch                                                
rparen                                            )                                                 
endsym                                            END                                               
semocolon                                         ;                                                 
ifsym                                             IF                                                
indentifier                                       Ch                                                
notequal                                          <>                                                
litchar                                                                                             
thensym                                           THEN                                              
indentifier                                       Str                                               
assign                                            :=                                                
indentifier                                       Str                                               
plus                                              +                                                 
indentifier                                       Ch                                                
endsym                                            END                                               
endsym                                            END                                               
semocolon                                         ;                                                 
proceduresym                                      PROCEDURE                                         
indentifier                                       ReadSchedClrArgs                                  
lparen                                            (                                                 
varsym                                            VAR                                               
indentifier                                       StartDay                                          
comma                                             ,                                                 
indentifier                                       EndDay                                            
colon                                             :                                                 
indentifier                                       DayType                                           
semocolon                                         ;                                                 
varsym                                            VAR                                               
indentifier                                       StartHour                                         
comma                                             ,                                                 
indentifier                                       EndHour                                           
colon                                             :                                                 
indentifier                                       HourType                                          
semocolon                                         ;                                                 
varsym                                            VAR                                               
indentifier                                       Error                                             
colon                                             :                                                 
indentifier                                       boolean                                           
rparen                                            )                                                 
semocolon                                         ;                                                 
varsym                                            VAR                                               
indentifier                                       InputHour                                         
colon                                             :                                                 
integersym                                        integer                                           
semocolon                                         ;                                                 
functionsym                                       FUNCTION                                          
indentifier                                       MapTo24                                           
lparen                                            (                                                 
indentifier                                       Hour                                              
colon                                             :                                                 
integersym                                        integer                                           
rparen                                            )                                                 
colon                                             :                                                 
indentifier                                       HourType                                          
semocolon                                         ;                                                 
constsym                                          CONST                                             
indentifier                                       LastPM                                            
equal                                             =                                                 
number                                            5                                                 
semocolon                                         ;                                                 
beginsym                                          BEGIN                                             
ifsym                                             IF                                                
indentifier                                       Hour                                              
lessequal                                         <=                                                
indentifier                                       LastPM                                            
thensym                                           THEN                                              
indentifier                                       MapTo24                                           
assign                                            :=                                                
indentifier                                       Hour                                              
plus                                              +                                                 
number                                            12
		                                             
elsesym                                           ELSE                                              
indentifier                                       MapTo24                                           
assign                                            :=                                                
indentifier                                       Hour                                              
endsym                                            END                                               
semocolon                                         ;                                                 
beginsym                                          BEGIN                                             
indentifier                                       ReadDay                                           
lparen                                            (                                                 
indentifier                                       input                                             
comma                                             ,                                                 
indentifier                                       StartDay                                          
rparen                                            )                                                 
semocolon                                         ;                                                 
indentifier                                       ReadDay                                           
lparen                                            (                                                 
indentifier                                       input                                             
comma                                             ,                                                 
indentifier                                       EndDay                                            
rparen                                            )                                                 
semocolon                                         ;                                                 
ifsym                                             IF                                                
lparen                                            (                                                 
indentifier                                       StartDay                                          
notequal                                          <>                                                
indentifier                                       BadDay                                            
rparen                                            )                                                 
andsym                                            AND                                               
lparen                                            (                                                 
indentifier                                       EndDay                                            
notequal                                          <>                                                
indentifier                                       BadDay                                            
rparen                                            )                                                 
thensym                                           THEN                                              
beginsym                                          BEGIN                                             
readsym                                           read                                              
lparen                                            (                                                 
indentifier                                       InputHour                                         
rparen                                            )                                                 
semocolon                                         ;                                                 
indentifier                                       StartHour                                         
assign                                            :=                                                
indentifier                                       MapTo24                                           
lparen                                            (                                                 
indentifier                                       InputHour                                         
rparen                                            )                                                 
semocolon                                         ;                                                 
readsym                                           read                                              
lparen                                            (                                                 
indentifier                                       InputHour                                         
rparen                                            )                                                 
semocolon                                         ;                                                 
indentifier                                       EndHour                                           
assign                                            :=                                                
indentifier                                       MapTo24                                           
lparen                                            (                                                 
indentifier                                       InputHour                                         
rparen                                            )                                                 
semocolon                                         ;                                                 
indentifier                                       Error                                             
assign                                            :=                                                
falsesym                                          FALSE                                             
endsym                                            END                                               
elsesym                                           ELSE                                              
indentifier                                       Error                                             
assign                                            :=                                                
truesym                                           TRUE                                              
semocolon                                         ;                                                 
indentifier                                       readln                                            
endsym                                            END                                               
semocolon                                         ;                                                 
proceduresym                                      PROCEDURE                                         
indentifier                                       WriteDaysHeader                                   
semocolon                                         ;                                                 
constsym                                          CONST                                             
indentifier                                       DaysHeadMoveOver                                  
equal                                             =                                                 
number                                            6                                                 
semocolon                                         ;                                                 
indentifier                                       AllowForDay                                       
